collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
5398,CC Carnelle Pays-de-France,200073013,95,11,1,1,CC CARNELLE PAYS-DE-FRANCE,95,CC,FA,34212.0,33947.0,706085009.0,5394694.0,157.684263,0.241369
5003,CA de Vesoul,247000011,70,27,1,0,COMMUNAUTE D'AGGLOMERATION DE VESOUL,70,CA,FPU,33900.0,33526.0,514100522.0,17712385.0,522.489233,0.48474
4187,CC du Vexin Normand,200071843,27,28,1,0,CC DU VEXIN NORMAND,27,CC,FPU,34636.0,33772.0,493978080.0,8831674.0,254.985391,0.399834
4063,CC Haute-Corrèze Communauté,200066744,19,75,1,1,CC HAUTE-CORREZE COMMUNAUTE,19,CC,FPU,38736.0,33204.0,489519368.0,19586526.0,505.641419,0.353765
5279,CC du Pays des Sorgues et des Monts de Vaucluse,248400319,84,93,1,0,CC PAYS DES SORGUES ET DES MONTS DE VAUCLUSE,84,CC,FPU,36626.0,34942.0,654922113.0,17406721.0,475.255856,0.336552
5290,CC Vendée Grand Littoral,200071900,85,52,1,0,CC VENDÉE GRAND LITTORAL,85,CC,FPU,49843.0,36890.0,716205601.0,13099280.0,262.810826,0.335613
4955,CC de Sélestat,246700967,67,44,1,0,CC SELESTAT,67,CC,FA,38413.0,37936.0,709396034.0,13951091.0,363.186708,0.402372
5121,CA Fécamp Caux Littoral Agglomération,200069821,76,28,1,0,CA FECAMP CAUX LITTORAL AGGLOMERATION,76,CA,FPU,41242.0,38894.0,587688595.0,11223752.0,272.143737,0.428332
5210,CC Somme Sud-Ouest,200071181,80,32,1,0,CC SOMME SUD-OUEST,80,CC,FA,39523.0,38709.0,597478871.0,11174179.0,282.725982,0.642208
4700,CC du Territoire de Lunéville à Baccarat,200070324,54,44,1,0,CC DU TERRITOIRE DE LUNEVILLE A BACCARAT,54,CC,FPU,41672.0,41225.0,597955305.0,13675098.0,328.160347,0.33483
4882,CC Mond'Arverne Communauté,200069177,63,84,1,0,CC MOND’ARVERNE COMMUNAUTE,63,CC,FPU,42752.0,41797.0,832487683.0,11270449.0,263.623901,0.372991
3904,CC du Bassin d'Aubenas,200073245,7,84,1,0,CC DU BASSIN D'AUBENAS,07,CC,FPU,45214.0,42107.0,643692661.0,18143854.0,401.288406,0.342263
5310,CC du Haut-Poitou,200069763,86,75,1,0,CC DU HAUT-POITOU,86,CC,FPU,43280.0,42689.0,671798175.0,12310568.0,284.440111,0.393941
4291,Grand Ouest Toulousain,243100781,31,76,1,0,CC LE GRAND OUEST TOULOUSAIN,31,CC,FPU,50333.0,50107.0,966097883.0,12845950.0,255.21924,0.318041
4575,CC des Loges,244500427,45,24,1,0,CC DES LOGES,45,CC,FPU,44967.0,44121.0,776755159.0,16770174.0,372.944026,0.206662
5262,CC Coeur du Var,248300550,83,93,1,2,CC COEUR DU VAR,83,CC,FPU,48445.0,46439.0,730383808.0,11505381.0,237.493673,0.351971
4591,CC Grand-Figeac,200067361,46,76,1,0,CC GRAND FIGEAC,46,CC,FPU,50456.0,45489.0,713821128.0,20022672.0,396.834311,0.565069
4060,CA Tulle Agglo,241927201,19,75,1,0,CA TULLE AGGLO,19,CA,FPU,48642.0,45048.0,687545923.0,18121720.0,372.552938,0.476999
4672,CA de Chaumont,200068658,52,44,1,0,AGGLOMÉRATION DE CHAUMONT,52,CA,FPU,46370.0,45434.0,688079404.0,18419627.0,397.231551,0.449096
4649,"CC de Granville, Terre et Mer",200042604,50,28,1,1,"CC GRANVILLE, TERRE ET MER",50,CC,FPU,56571.0,46959.0,911699793.0,18712202.0,330.773753,0.4005
